Month,Total_Revenue,Total_Orders
2016-09,279.69,2
2016-10,53495.01,296
2016-12,19.62,1
2017-01,136943.46,787
2017-02,283561.69,1718
2017-03,425617.96,2617
2017-04,405848.61,2377
2017-05,582710.83,3640
2017-06,499652.24,3205
2017-07,578753.73,3946
2017-08,661903.52,4272
2017-09,717102.72,4227
2017-10,764756.03,4547
2017-11,1172191.68,7421
2017-12,861526.77,5618
2018-01,1101920.01,7187
2018-02,979486.16,6624
2018-03,1152656.99,7168
2018-04,1156248.89,6919
2018-05,1145686.46,6833
2018-06,1020381.9,6145
2018-07,1039783.58,6233
2018-08,996973.51,6421
2018-09,166.46,1
