month,revenue,prev_month_revenue,pct_growth
2016-09,279.69,NULL,NULL
2016-10,53495.01000000003,279.69,19026.54
2016-12,19.62,53495.01000000003,-99.96
2017-01,136943.4599999998,19.62,697878.9
2017-02,283561.68999999977,136943.4599999998,107.06
2017-03,425617.9600000002,283561.68999999977,50.1
2017-04,405848.6100000006,425617.9600000002,-4.64
2017-05,582710.8300000037,405848.6100000006,43.58
2017-06,499652.2400000026,582710.8300000037,-14.25
2017-07,578753.7300000039,499652.2400000026,15.83
2017-08,661903.5200000011,578753.7300000039,14.37
2017-09,717102.7199999999,661903.5200000011,8.34
2017-10,764756.0300000004,717102.7199999999,6.65
2017-11,1172191.680000001,764756.0300000004,53.28
2017-12,861526.7699999996,1172191.680000001,-26.5
2018-01,1101920.0100000056,861526.7699999996,27.9
2018-02,979486.16,1101920.0100000056,-11.11
2018-03,1152656.9899999958,979486.16,17.68
2018-04,1156248.889999995,1152656.9899999958,0.31
2018-05,1145686.4599999986,1156248.889999995,-0.91
2018-06,1020381.8999999963,1145686.4599999986,-10.94
2018-07,1039783.5799999982,1020381.8999999963,1.9
2018-08,996973.5099999952,1039783.5799999982,-4.12
2018-09,166.46,996973.5099999952,-99.98
