category,seller_id,revenue,rank_in_category
agro_industry_and_commerce,e59aa562b9f8076dd550fcddf0e73491,31574.3,1
agro_industry_and_commerce,6bd69102ab48df500790a8cecfc285c2,8070,2
agro_industry_and_commerce,f08a5b9dd6767129688d001acafc21e5,7535.540000000001,3
air_conditioning,7901646fdd36a55f564ffaf2dbccaaf7,8900.08,1
air_conditioning,6a51fc556dab5f766ced6fbc860bc613,6046.269999999997,2
air_conditioning,fcdd820084f17e9982427971e4e9d47f,4640,3
art,c31eff8334d6b3047ed34bebd4d62c36,10803.719999999983,1
art,ee27a8f15b1dded4d213a468ba4eb391,6499,2
art,955fee9216a65b617aa5c0531780ce60,914,3
arts_and_craftmanship,55f7a3319d80f7fdf078b8f03e6725fe,657.94,1
arts_and_craftmanship,04ee0ec01589969663ba5967c0e0bdc0,289.49,2
arts_and_craftmanship,05730013efda596306417c3b09302475,238,3
audio,7d13fca15225358621be4086e1eb0964,18561.649999999998,1
audio,4869f7a5dfa277a7dca6462dcf3b52b2,9031.299999999996,2
audio,b33e7c55446eabf8fe1a42d037ac7d6d,5677.939999999999,3
auto,8581055ce74af1daba164fdbd55a40de,64925.30000000026,1
auto,712e6ed8aa4aa1fa65dab41fed5737e4,39815,2
auto,7142540dd4c91e2237acb7e911c4eba2,28187.280000000093,3
baby,5dceca129747e92ff8ef7a997dc4f8ca,74509.91999999998,1
baby,855668e0971d4dfd7bef1b6a4133b41b,26860.280000000017,2
baby,ff69aa92bb6b1bf9b8b7a51c2ed9cf8b,21341.8,3
bed_bath_table,4a3ca9315b744ce9f8e9374361493884,165219.24999999732,1
bed_bath_table,da8622b14eb17ae2831f4ac5b9dab84a,152307.79999999685,2
bed_bath_table,37be5a7c751166fbc5f8ccba4119e043,54552.569999999985,3
books_general_interest,527801b552d0077ffd170872eb49683b,17591.4,1
books_general_interest,669ae81880e08f269a64487cfb287169,6654.99,2
books_general_interest,83e197e95a1bbabc8c75e883ed016c47,6394.089999999998,3
books_imported,bc2ac6b95e1accce9858528ee566c17e,2045,1
books_imported,7c5b05cbdb5542049f38d90d7815b97d,1038.9599999999998,2
books_imported,9b1585752613ec342d03bbab9997ec48,749,3
books_technical,ba143b05f0110f0dc71ad71b4466ce92,5499.649999999993,1
books_technical,1bb2bdb95f4841f1bba2c0d2cd83d3c9,2582.2099999999996,2
books_technical,0ffa40d54288e4f3499b8780dd0f144f,2015.8,3
cds_dvds_musicals,4e922959ae960d389249c378d1c939f5,730,1
christmas_supplies,d93919c944be9cff128f6c9cb899eacb,2496.8000000000015,1
christmas_supplies,0d85bbda9889ce1f7e63778d24f346eb,2110.8000000000006,2
christmas_supplies,b9a03475e6447e631b6799ec8274800f,1179.2,3
cine_photo,ce69a8021d18961dd2a40269b7c2c293,1767.97,1
cine_photo,da7039f29f90ce5b4846ffc0fcc93beb,1259.1,2
cine_photo,8d956fec2e4337affcb520f56fd8cbfd,1105.6000000000001,3
computers,53243585a1d6dc2643021fd1853d8905,166871.75000000006,1
computers,7681ef142fd2c19048da7430856b5588,28198.920000000002,2
computers,a00824eb9093d40e589b940ec45c4eb0,9399.97,3
computers_accessories,25c5c91f63607446a97b143d2d535d31,53257.52000000006,1
computers_accessories,de722cd6dad950a92b7d4f82673f8833,52197.80000000029,2
computers_accessories,a1043bafd471dff536d0c462352beb48,47214.50999999998,3
consoles_games,522620dcb18a6b31cd7bdf73665113a9,36329.79,1
consoles_games,7299e27ed73d2ad986de7f7c77d919fa,13398.209999999986,2
consoles_games,66e0557ecc2b4dbea057e93f215f68d8,12480,3
construction_tools_construction,b839e41795b7f3ad94cc2014a52f6796,25901,1
construction_tools_construction,0b35c634521043bf4b47e21547b99ab5,13533.649999999996,2
construction_tools_construction,59b22a78efb79a4797979612b885db36,11851,3
construction_tools_lights,1025f0e2d44d7041d6cf58b6550e0bfa,16685.6,1
construction_tools_lights,d6b1ce66b035a475f00c017792ff9769,9213.949999999995,2
construction_tools_lights,955fee9216a65b617aa5c0531780ce60,2328.9300000000003,3
construction_tools_safety,4a3ccda38b2129705f3fb522db62ca31,13954.849999999988,1
construction_tools_safety,06e5eefc71ec47ae763c5c6f8db7064f,8857.48,2
construction_tools_safety,fbc14c0cf93505ef89f64665ffa4a7b5,3310.97,3
cool_stuff,7a67c85e85bb2ce8582c35f2203ad736,135413.55000000205,1
cool_stuff,ceaec5548eefc6e23e6607c5435102e7,43533.22999999997,2
cool_stuff,834f3294fba9f932f56edc879193f925,39158.5,3
costruction_tools_garden,d51e0a403fe2e689ece6c73359d96e12,7790,1
costruction_tools_garden,f80edd2c5aaa505cc4b0a3b219abf4b8,4161.600000000002,2
costruction_tools_garden,8bb48dc19fccaa8613b6229bf7f452a2,2855.6999999999985,3
costruction_tools_tools,2a167ca73899c85001a837d8fb4962f6,4097,1
costruction_tools_tools,eeb6de78f79159600292e314a77cbd18,3843,2
costruction_tools_tools,955fee9216a65b617aa5c0531780ce60,1890,3
diapers_and_hygiene,270d3ef21830ad0ecf3a6c53d08a533a,509,1
diapers_and_hygiene,218d46b86c1881d022bce9c68a7d4b15,472,2
diapers_and_hygiene,7f35f9daf223da737b78738fbae4d977,180,3
drinks,e9779976487b77c6d4ac45f75ec7afe9,7824.3899999999785,1
drinks,c394e193cda3b4225ff2094d32184849,3419.879999999999,2
drinks,9b013e03b2ab786505a1d3b5c0756754,2186.43,3
dvds_blu_ray,491a5ada3aa1678414e990262c4bbdc1,2840,1
dvds_blu_ray,75fbb52eda0cbc24f479d3b2fbfa8d3e,1130.9899999999998,2
dvds_blu_ray,522620dcb18a6b31cd7bdf73665113a9,699,3
electronics,8b321bb669392f5163d04c59e235e066,14178.089999999871,1
electronics,128639473a139ac0f3e5f5ade55873a5,11102.649999999892,2
electronics,6039e27294dc75811c0d8a39069f52c0,8644.199999999993,3
fashio_female_clothing,dc8798cbf453b7e0f98745e396cc5616,618.5999999999999,1
fashio_female_clothing,b499c00f28f4b7069ff6550af8c1348a,544.84,2
fashio_female_clothing,cca3071e3e9bb7d12640c9fbe2301306,523.4,3
fashion_bags_accessories,6560211a19b47992c3666cc44a7e94c0,18076.829999999994,1
fashion_bags_accessories,1f1bb1f0859883505541bdd6606193e5,13482.839999999998,2
fashion_bags_accessories,b372ee768ed69e46ca8cdbd267aa7a38,12630,3
fashion_childrens_clothes,28ea411b354f14b1a494be4e79f0ce02,220,1
fashion_childrens_clothes,dbb9b48c841a0e39e21f98e1a6b2ec3e,179.98,2
fashion_childrens_clothes,d98eec89afa3380e14463da2aabaea72,119.97,3
fashion_male_clothing,aaed1309374718fdd995ee4c58c9dfcd,3630.2500000000005,1
fashion_male_clothing,a3a38f4affed601eb87a97788c949667,2527.940000000001,2
fashion_male_clothing,dc8798cbf453b7e0f98745e396cc5616,1138.3,3
fashion_shoes,048c2757535328e0d7dac690ad3c0aae,9264.779999999999,1
fashion_shoes,7142540dd4c91e2237acb7e911c4eba2,9186.279999999984,2
fashion_shoes,827f8f69dfa529c561901c4f2e0f332f,2456.4000000000037,3
fashion_sport,e7df4cd29ab5abab70fb0783ddb53987,868.7999999999998,1
fashion_sport,aaed1309374718fdd995ee4c58c9dfcd,386.8,2
fashion_sport,0cbcee27c791afa0cdcb08587a2013a8,225,3
fashion_underwear_beach,4bf2f4ee540798a61f9636d12cd9cc80,4235,1
fashion_underwear_beach,a6fe7de3d16f6149ffe280349a8535a0,2904.8000000000025,2
fashion_underwear_beach,a49928bcdf77c55c6d6e05e09a9b4ca5,948.7999999999998,3
fixed_telephony,b37c4c02bda3161a7546a4e6d222d5b2,23900,1
fixed_telephony,fbc14c0cf93505ef89f64665ffa4a7b5,6994.8899999999985,2
fixed_telephony,180c3376aff0e43dd5788709df48a843,4404,3
flowers,e62b2d6ac10570a035a30bafcf01d263,569.8,1
flowers,8bb48dc19fccaa8613b6229bf7f452a2,510.24,2
flowers,d7f1cfc638473be93baedbfd02208016,30,3
food,cbd996ad3c1b7dc71fd0e5f5df9087e2,4974.569999999997,1
food,d13e50eaa47b4cbe9eb81465865d8cfc,4904.619999999998,2
food,16090f2ca825584b5a147ab24aa30c86,3275.9300000000057,3
food_drink,a3dd39f583bc80bd8c5901c95878921e,4607.810000000001,1
food_drink,282f23a9769b2690c5dda22e316f9941,2489.400000000001,2
food_drink,9a03a4e9eb0b947652fae4f6121a3f5e,957,3
furniture_bedroom,3ade81dab5a172b88e1871c28ae05260,5214.6,1
furniture_bedroom,eb3071b9f0b0ddaa2df5ea130f09f26b,4040,2
furniture_bedroom,f181738b150df1f37cb0bd72e705b193,1927,3
furniture_decor,1025f0e2d44d7041d6cf58b6550e0bfa,111530.4499999994,1
furniture_decor,77530e9772f57a62c906e1c21538ab82,46169.40000000007,2
furniture_decor,955fee9216a65b617aa5c0531780ce60,38868.900000000336,3
furniture_living_room,1554a68530182680ad5c8b042c3ab563,18379.71,1
furniture_living_room,701938c450705b8ae65fc923b70f35c7,11341.459999999986,2
furniture_living_room,1da366cade6d8276e7d8beea7af5d4bf,5303.6,3
furniture_mattress_and_upholstery,00ee68308b45bc5e2660cd833c3f81cc,1860,1
furniture_mattress_and_upholstery,f84a00e60c73a49e7e851c9bdca3a5bb,831.2,2
furniture_mattress_and_upholstery,11305281b50fff20ae8bb473f8e11876,799.98,3
garden_tools,1f50f920176fa81dab994f9023523100,103133.10999999769,1
garden_tools,a1043bafd471dff536d0c462352beb48,54467.65000000002,2
garden_tools,eeb6de78f79159600292e314a77cbd18,35769.9,3
health_beauty,edb1ef5e36e0c8cd84eb3c9b003e486d,79284.54999999994,1
health_beauty,ccc4bbb5f32a6ab2b7066a4130f114e3,72471.73000000007,2
health_beauty,f7ba60f8c3f99e7ee4042fdef03b70c4,65817,3
home_appliances,d91fb3b7d041e83b64a00a3edfb37e4f,35671.200000000026,1
home_appliances,e882b2a25a10b9c057cc49695f222c19,11828.73,2
home_appliances,0adac9fbd9a2b63cccaac4f8756c1ca8,6990,3
home_appliances_2,e882b2a25a10b9c057cc49695f222c19,38341,1
home_appliances_2,f62d7bb4a613ec758a03342d46b580b2,10075,2
home_appliances_2,8fb791022c1fc8909664f48ab7dc636d,8119.949999999999,3
home_comfort_2,4a3ca9315b744ce9f8e9374361493884,335.3999999999999,1
home_comfort_2,3b15288545f8928d3e65a8f949a28291,329.98,2
home_comfort_2,45d33f715e24d15a6ccf5c17b3a23e3c,59.9,3
home_confort,2528513dd95219a6013d4d05176e391a,26475,1
home_confort,4a3ca9315b744ce9f8e9374361493884,24552.700000000037,2
home_confort,11305281b50fff20ae8bb473f8e11876,2469.84,3
home_construction,213b25e6f54661939f11710a6fddb871,13919.50000000001,1
